Currency Pair,Final Equity,Total Return (%),Equity Peak,Volatility (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Average Drawdown (%),Total Trades,Win Rate (%),Time in Market (%),Best Parameters
USD/JPY,100172.07107399998,0.17207107399997768,100995.25874699999,6.440314349136167,0.5198632580008439,6.003511735184548e-05,-2.0860979279015646,-0.9050193857234314,2,50.0,31.92771084337349,"{'rsi_length': 10, 'oversold': 20, 'overbought': 80, 'risk_percent': 0.02, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.05}"
GBP/USD,100000.0,0.0,100000.0,0.0,0.0,,0.0,,0,0.0,0.0,"{'rsi_length': 10, 'oversold': 20, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
CHF/USD,100000.0,0.0,100000.0,0.0,0.0,,0.0,,0,0.0,0.0,"{'rsi_length': 10, 'oversold': 20, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
AUD/GBP,100000.0,0.0,100000.0,0.0,0.0,,0.0,,0,0.0,0.0,"{'rsi_length': 5, 'oversold': 10, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
EUR/CAD,100000.0,0.0,100000.0,0.0,0.0,,0.0,,0,0.0,0.0,"{'rsi_length': 2, 'oversold': 10, 'overbought': 70, 'risk_percent': 0.02, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
USD/NZD,100000.0,0.0,100000.0,0.0,0.0,,0.0,,0,0.0,0.0,"{'rsi_length': 10, 'oversold': 10, 'overbought': 90, 'risk_percent': 0.02, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.05}"
CHF/GBP,100000.0,0.0,100000.0,0.0,0.0,,0.0,,0,0.0,0.0,"{'rsi_length': 10, 'oversold': 20, 'overbought': 80, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
GBP/CAD,100000.0,0.0,100000.0,0.0,0.0,,0.0,,0,0.0,0.0,"{'rsi_length': 10, 'oversold': 10, 'overbought': 90, 'risk_percent': 0.02, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.05}"
EUR/AUD,100000.0,0.0,100000.0,0.0,0.0,,0.0,,0,0.0,0.0,"{'rsi_length': 10, 'oversold': 20, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
USD/GBP,100000.0,0.0,100000.0,0.0,0.0,,0.0,,0,0.0,0.0,"{'rsi_length': 2, 'oversold': 10, 'overbought': 70, 'risk_percent': 0.02, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
